Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1404,TCP_DOM_Duplicate_ACK,1804,161681,65535,0,
0.01,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1411,TCP_DOM_Duplicate_ACK,1804,161681,65535,0,
0.76,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11523,TCP_PSH_Retransmission,158855,1804,33580,1413,
6.92,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,2696,TCP_PSH_Retransmission,160268,1804,33580,1413,
5.8,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,252,TCP_PSH_Retransmission,96683,1804,33580,1413,
359.23,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,6,TCP_CAM_Duplicate_ACK,161681,1804,33580,0,
2.12,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,6,TCP_CAM_Duplicate_ACK,161681,1804,33580,0,
29.63,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,163094,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,164507,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,165920,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,167333,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,7,TCP_CAM_PSH_ACK,168746,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,170159,1804,33580,1413,
3.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,171572,1804,33580,1413,
6.87,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,186,TCP_CAM_ACK,161681,1804,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,186,TCP_CAM_ACK,161681,1804,33580,0,
25.18,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,163094,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,164507,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,165920,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,167333,65535,0,
0.13,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,168746,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,170159,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,171572,65535,0,
0.99,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,18,TCP_DOM_Duplicate_ACK,1804,171572,65535,0,
0.3,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,3,TCP_DOM_ACK,1804,172985,65535,0,
0.14,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,5,TCP_DOM_Duplicate_ACK,1804,172985,65535,0,
0.45,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,161681,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,7,TCP_DOM_Duplicate_ACK,1804,161681,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,163094,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,164507,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,165920,65535,0,
0.18,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,10,TCP_DOM_Duplicate_ACK,1804,172985,65535,0,
1.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,167333,65535,0,
0.01,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,168746,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,170159,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,2,TCP_DOM_ACK,1804,171572,65535,0,
0.29,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,5,TCP_DOM_Duplicate_ACK,1804,172985,65535,0,
1.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,17,TCP_DOM_Duplicate_ACK,1804,171572,65535,0,
0.2,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1,TCP_DOM_ACK,1804,172985,65535,0,
0.0,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,440,TCP_DOM_Duplicate_ACK,1804,172985,65535,0,
